workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
SPUI,growspui.com,unassigned,30,0,30,30,0,0,0,,2026-04-30,False
Sammy,usesammyai.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,runsammyai.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,tapsammy.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,joinsammy.com,reserve,52,52,0,0,0,0,52,2026-03-21,,True
Sammy,reachsammy.com,burned,52,52,0,0,0,0,52,2026-03-21,,True
Sammy,buildsammy.com,reserve,52,52,0,0,0,0,52,2026-03-21,,True
Sammy,opensammy.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,exploresammy.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,getsammyai.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,runsammy.com,cancelled,52,52,0,0,0,0,52,2026-04-28,,True
Sammy,startsammy.com,cancelled,51,51,0,0,0,0,51,2026-04-28,,True
Sammy,trysammyai.com,live,51,51,0,0,0,0,51,2026-03-21,,True
Sammy,catchsammy.com,cancelled,3,3,0,0,0,0,3,2026-04-28,,True
Sammy,pingsammy.com,cancelled,3,3,0,0,0,0,3,2026-04-28,,True
Sammy,accesssammy.com,cancelled,3,3,0,0,0,0,3,2026-04-28,,True
Sammy,followsammy.com,cancelled,3,3,0,0,0,0,3,2026-04-28,,True
Search Atlas,revealsearchatlas.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Search Atlas,createsearchatlas.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Search Atlas,boostsearchatlas.com,burned,45,5,40,40,0,5,0,2026-04-23,2026-04-30,False
Search Atlas,scalesearchatlas.com,burned,47,4,43,43,0,4,0,2026-04-22,2026-04-30,False
Search Atlas,attractsearchatlas.com,burned,51,4,47,47,0,3,1,2026-04-21,2026-04-30,False
Search Atlas,growsearchatlas.com,burned,52,4,48,48,0,4,0,2026-03-12,2026-04-30,False
Search Atlas,ignitesearchatlas.com,burned,51,3,48,48,0,3,0,2026-04-27,2026-04-30,False
Search Atlas,advancesearchatlas.com,live,51,3,48,48,0,3,0,2026-04-30,2026-04-30,False
Search Atlas,launchsearchatlas.com,burned,51,2,49,49,0,2,0,2026-04-27,2026-04-30,False
Search Atlas,climbsearchatlas.com,live,3,2,1,1,0,2,0,2026-04-30,2026-04-30,False
Search Atlas,capturesearchatlas.com,live,50,2,48,48,0,2,0,2026-04-29,2026-04-30,False
Search Atlas,improvesearchatlas.com,live,3,2,1,1,0,2,0,2026-04-30,2026-04-30,False
Search Atlas,guidesearchatlas.com,live,3,2,1,1,0,2,0,2026-04-30,2026-04-30,False
Search Atlas,cultivatesearchatlas.com,reserve,3,2,1,1,0,2,0,2026-04-24,2026-04-30,False
Search Atlas,alignsearchatlas.com,live,51,1,50,50,0,1,0,2026-04-23,2026-04-30,False
Search Atlas,commandsearchatlas.com,live,3,1,2,2,0,1,0,2026-04-22,2026-04-30,False
Search Atlas,fuelsearchatlas.com,live,50,1,49,49,0,1,0,2026-03-17,2026-04-30,False
Search Atlas,generatesearchatlas.com,live,3,1,2,2,0,1,0,2026-04-24,2026-04-30,False
Search Atlas,directsearchatlas.com,live,3,1,2,2,0,1,0,2026-04-30,2026-04-30,False
Search Atlas,optimizesearchatlas.com,live,3,1,2,2,0,1,0,2026-04-30,2026-04-30,False
Search Atlas,exploresearchatlas.com,live,3,1,2,2,0,1,0,2026-04-27,2026-04-30,False
Search Atlas,scansearchatlas.com,live,3,1,2,2,0,1,0,2026-04-24,2026-04-30,False
Search Atlas,refinesearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,acceleratesearchatlas.com,live,51,0,51,51,0,0,0,,2026-04-30,False
Search Atlas,enhancesearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,expandsearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,developsearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,discoversearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,tunesearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Search Atlas,activatesearchatlas.com,live,50,0,50,50,0,0,0,,2026-04-30,False
Search Atlas,monitorsearchatlas.com,live,3,0,3,3,0,0,0,,2026-04-30,False
